#src_name   Eb  Eb_err  redshift
J0004-4736 691.102 177.306 0.880
J0011+0057 757.174 140.075 1.493
J0017-0512 894.583 122.707 0.226
J0023+4456 683.842 163.144 2.023
J0043+3426 1393.55 200.671 0.966
J0050-0452 777.665 146.948 0.922
J0058+3311 1760.78 1229.56 1.369
J0102+4214 427.199 137.516 0.874
J0102+5824 1837.26 143.502 0.644
J0104-2416 449.923 50.4772 1.747
J0157-4614 804.773 223.627 2.287
J0203+3041 892.012 119.688 0.955
J0217-0820 806.104 13.839 0.607
J0237+2848 541.652 19.1125 1.206
J0246-4651 558.366 47.2958 1.385
J0252-2219 435.759 29.3542 1.419
J0303-6211 821.499 116.371 1.348
J0309-6058 577.16 34.0569 1.479
J0315-1031 683.974 171.41 1.565
J0325+2224 518.896 60.0553 2.066
J0422-0643 1130.88 171.741 0.242
J0442-0017 435.506 27.185 0.845
J0449+1121 518.427 11.8069 2.153
J0456-3136 521.239 107.169 0.865
J0507-6104 1051.59 64.4144 1.089
J0516-6207 880.07 73.4408 1.300
J0526-4830 859.992 6.10856 1.300
J0532+0732 625.77 37.1991 1.254
J0533+4822 760.433 65.9231 1.160
J0541-0541 1453.04 13.7469 0.838
J0601-7036 713.838 54.9679 2.409
J0607-0834 773.144 36.5885 0.870
J0608-1520 464.815 64.5118 1.094
J0654+5042 850.089 153.935 1.253
J0654+4514 938.892 184.609 0.928
J0713+1935 591.9 73.8321 0.540
J0721+0406 480.376 73.2831 0.665
J0725+1425 597.108 54.8198 1.038
J0746+2549 465.741 81.4063 2.979
J0805+6144 388.733 4.00779 3.033
J0830+2410 598.902 72.951 0.942
J0840+1312 826.185 360.757 0.680
J0909+0121 995.766 87.6335 1.026
J0920+4441 1211.01 61.2765 2.189
J0921+6215 589.073 36.3831 1.453
J0923+4125 671.019 120.329 1.732
J0946+1017 492.513 61.2651 1.006
J0948+0022 310.199 21.3314 0.585
J0956+2515 495.052 102.273 0.708
J0957+5522 810.53 37.6266 0.899
J1012+2439 614.243 66.5659 1.800
J1018+3542 568.445 107.531 1.228
J1022+3931 497.38 63.6733 0.604
J1032+6051 1208.08 70.7881 1.064
J1033+4116 544.636 96.9042 1.117
J1033+6051 1208.08 70.7881 1.401
J1058+0133 823.648 54.4281 0.888
J1106+2812 693.905 131.334 0.843
J1112+3446 453.559 69.8332 1.956
J1120+0704 1238.71 30.4034 1.336
J1133+0040 786.518 95.7779 1.633
J1146+3958 551.604 24.7372 1.088
J1152-0841 653.247 88.3116 2.367
J1154+6022 684.443 121.116 1.120
J1159+2914 545.847 15.0978 0.725
J1208+5441 417.066 39.7038 1.344
J1222+0413 365.071 39.2115 0.966
J1224+2122 410.377 11.8597 0.434
J1224+5001 695.888 100.146 1.065
J1228+4858 826.484 223.129 1.722
J1239+0443 501.275 31.721 1.761
J1257+3229 776.006 5.1664 0.806
J1303-4621 1672.92 105.603 1.664
J1310+3220 2158.84 95.2553 0.997
J1321+2216 680.369 68.5959 0.943
J1332-1256 1000.3 70.3448 1.492
J1333+5057 770.617 116.358 1.362
J1344-1723 910.135 150.045 2.506
J1345+4452 489.082 17.8429 2.534
J1347-3750 1043.54 11.6342 1.300
J1350+3034 785.728 144.095 0.712
J1423-7829 1160.81 276.735 0.788
J1436+2321 917.059 43.2989 1.548
