#srcName	Eb(MeV)	Eb_err(MeV)	Redshift	Gamma_Luminosity	
##### SO data #############
j0237+2848	541.662	19.1116	1.20599997	8.9497E+47
j0654+4514	938.889	184.558	0.927999973	4.70949E+46
j0725+1425	597.108	54.8085	1.037999988	1.88343E+47
j0909+0121	995.766	87.629	1.024000049	1.20252E+47
j1033+6051	1246.21	70.9509	1.401000023	4.86581E+47
j1159+2914	607.872	1.00176	0.728999972	4.15883E+47
j1224+2122	436.42	12.5618	0.433999985	8.99309E+46
j1239+0443	534.475	30.0604	1.761000037	1.02033E+48
j1345+4452	513.897	20.3433	2.53399992	3.80541E+48
j1443+2501	1172.07	105.146	0.93900001	1.68997E+47
j1504+1029	533.403	16.0998	1.838999987	3.96942E+48
j1635+3808	612.622	11.9939	1.81400001	2.6564E+48
j2345-1555	908.058	56.7583	0.620999992	1.02114E+47
j0017-0512	851.201	116.948	0.226999998	1.8055E+45
#### nature data ####
j0422-0643	1130.88	171.691	0.241999999	2.0368E+45
j0442-0017	435.508	27.1851	0.845	2.61E+46
j0449+1121	518.429	11.8107	2.153000116	1.06909E+48
j0532+0732	625.767	37.1953	1.253999949	4.6281E+47
j0921+6215	605.316	37.3051	1.44599998	4.48147E+47
j1208+5441	453.436	43.2891	1.345123053	1.43137E+47
j1332-1256	1058.6	4.49126	1.491999984	4.22839E+47
j1637+4717	590.587	74.0821	0.735000014	2.65836E+46
j1709+4318	634.844	2.64238	1.02699995	9.39295E+46
j2219+1806	795.421	150.112	1.07099998	7.06179E+46
j2229-0832	351.594	16.7577	1.559999943	6.22004E+47


