#srcName	Eb(MeV)	Eb_err(MeV)	Redshift	Gamma_Luminosity	
j0004-4736	691.106	177.291	0.879999995	2.05811E+46
j0011+0057	724.024	131.124	1.491999984	1.37066E+47
j0023+4456	917.806	237.527	1.062000036	3.87094E+46
j0043+3426	1393.55	200.644	0.966000021	1.4916E+47
j0050-0452	777.665	146.927	0.920000017	3.91776E+46
j0058+3311	1760.78	1226.99	1.368999958	2.05259E+46
j0102+4214	427.195	137.243	0.874000013	1.80656E+46
j0102+5824	1837.26	138.719	0.644	7.14276E+46
j0104-2416	449.924	49.7609	1.746999979	1.07918E+47
j0157-4614	804.772	223.659	2.286999941	1.70929E+47
j0203+3041	892.012	119.684	0.955	7.10471E+46
j0217-0820	806.265	13.8413	0.606999993	5.97518E+45
j0246-4651	558.365	47.2851	1.38499999	2.348E+47
j0252-2219	435.768	1.06355	1.41900003	4.35286E+47
j0303-6211	821.498	116.348	1.350999951	1.39186E+47
j0309-6058	577.16	34.0552	1.478999972	4.41037E+47
j0315-1031	683.973	171.361	1.565000057	1.09308E+47
j0325+2224	518.903	60.0507	2.065999985	6.37976E+47
j0422-0643	1130.88	171.691	0.241999999	2.0368E+45
j0442-0017	435.508	27.1851	0.449000001	2.60977E+46
j0449+1121	518.429	11.8107	2.153000116	1.06909E+48
j0456-3136	521.24	107.165	0.86500001	2.38827E+46
j0507-6104	1051.6	64.1245	1.088999987	5.39266E+46
j0516-6207	843.91	27.2109	1.299999952	2.04294E+47
j0526-4830	859.991	6.10916	1.299999952	3.49094E+47
j0532+0732	625.767	37.1953	1.253999949	4.6281E+47
j0533+4822	760.426	64.8303	1.16	2.26415E+47
j0541-0541	1453.35	13.7677	0.838	2.48227E+46
j0601-7036	713.837	54.9657	2.40899992	8.77736E+47
j0607-0834	773.146	3.07816	0.870000005	8.11564E+46
j0608-1520	464.807	64.5074	1.093999982	7.27389E+46
j0654+5042	850.089	153.801	1.253000021	1.05799E+47
j0713+1935	591.899	73.8027	0.540000021	2.25176E+46
j0721+0406	480.377	73.2157	0.665	2.73473E+46
j0746+2549	465.741	81.4175	2.987498045	5.46158E+47
j0805+6144	388.733	68.2467	3.032999992	4.79602E+47
j0830+2410	598.9	72.9474	0.93900001	6.31525E+46
j0840+1312	826.184	360.338	0.680999994	6.86094E+45
j0920+4441	1211.01	61.271	2.186448097	1.34691E+48
j0921+6215	605.316	37.3051	1.44599998	4.48147E+47
j0923+4125	1033.47	205.515	1.731999993	1.46346E+47
j0946+1017	516.686	62.672	1.006999969	1.00356E+47
j0948+0022	312.008	20.8277	0.584999979	4.66084E+46
j0956+2515	526.16	101.925	0.708000004	1.84635E+46
j0957+5522	809.366	37.0597	0.896000028	3.56247E+47
j1012+2439	634.438	66.7689	1.804999948	4.76042E+47
j1018+3542	610.842	113.821	1.228000045	6.02142E+46
j1022+3931	518.214	63.6718	0.604	1.94227E+46
j1032+6051	1246.21	70.9509	1.064	2.46326E+47
j1033+4116	583.913	96.5947	1.116999984	6.48993E+46
j1058+0133	792.849	47.3676	0.889999986	2.26693E+47
j1106+2812	704.763	135.666	0.843520999	2.71633E+46
j1112+3446	479.809	73.372	1.949499965	2.37015E+47
j1120+0704	1493.73	11.1476	1.336	5.4213E+46
j1133+0040	840.292	17.4426	1.633	4.40847E+47
j1146+3958	557.238	24.0374	1.088999987	2.96487E+47
j1152-0841	628.777	82.2738	2.369999886	6.41657E+47
j1154+6022	618.535	105.717	1.120000005	3.73531E+46
j1208+5441	453.436	43.2891	1.345123053	1.43137E+47
j1222+0413	495.031	54.4846	0.96420002	7.4676E+46
j1224+5001	750.482	121.06	1.063951969	4.33517E+46
j1228+4858	888.455	197.84	1.716055989	9.69336E+46
j1257+3229	753.137	81.3827	0.805999994	4.44129E+46
j1303-4621	1852.98	1022.62	1.664000034	5.1751E+46
j1310+3220	1606.99	86.4419	0.996999979	2.564E+47
j1321+2216	710.256	69.7145	0.943000019	1.02394E+47
j1332-1256	1058.6	4.49126	1.491999984	4.22839E+47
j1333+5057	951.945	177.577	1.361999989	7.94866E+46
j1344-1723	946.094	152.949	2.49000001	7.3012E+47
j1347-3750	1012.12	287.061	1.299999952	6.16645E+46
j1350+3034	785.727	144.059	0.711515009	1.77975E+46
j1423-7829	1049.83	248.812	0.787999988	2.50793E+46
j1436+2321	925.307	43.4606	1.547438025	3.57456E+46
j1438+3710	609.161	101.674	2.401000023	4.10369E+47
j1439+3712	609.161	101.674	1.027	5.07446E+46
j1441-1523	2013.13	128.631	2.638000011	1.53578E+47
j1505+0326	471.397	72.5606	0.409000009	8.88068E+45
j1514+4450	845.556	225.893	0.57	5.95739E+45
j1522+3144	532.897	16.8859	1.488999963	1.27656E+48
j1539+2744	910.318	242.598	2.196000099	2.6865E+47
j1549+0237	755.377	165.022	0.414000005	6.20517E+45
j1550+0527	871.788	192.594	1.422000051	1.1184E+47
j1553+1256	758.029	118.096	1.289999962	1.32753E+47
j1608+1029	547.638	64.5614	1.225999951	1.48204E+47
j1613+3412	644.372	94.1221	1.399000049	1.11582E+47
j1616+4632	865.444	353.639	0.952059984	1.08108E+46
j1617-5848	1302.06	20.8936	1.422	1.10135E+47
j1636+4715	590.587	74.0821	0.823	3.50977E+46
j1637+4717	590.587	74.0821	0.735000014	2.65836E+46
j1703-6212	949.735	314.237	1.754999995	4.80189E+47
j1709+4318	634.844	2.64238	1.02699995	9.39295E+46
j1734+3857	775.281	63.208	0.976000011	1.323E+47
j1802-3940	961.954	9.01455	1.319	3.62149E+47
j1818+0903	879.119	173.058	0.354000002	4.53706E+45
j1903-6749	631.826	63.9855	0.254999995	4.57358E+45
j1954-1123	845.609	120.621	0.683000028	2.9027E+46
j1955+1358	972.332	74.1146	0.743	2.43128E+46
j1959-4246	750.028	270.036	2.174000025	1.74083E+47
j2035+1056	782.719	53.3898	0.601000011	5.54064E+46
j2121+1901	912.737	129.381	2.180000067	7.42461E+47
j2135-5006	993.413	12.816	2.180999994	2.93767E+47
j2145-3357	626.86	45.2527	1.360000014	1.39453E+47
j2157+3127	725.787	88.8808	1.485999942	2.55983E+47
j2202-8338	864.046	83.3468	1.86500001	5.56796E+47
j2212+2355	936.075	176.078	1.125	9.47103E+46
j2219+1806	795.421	150.112	1.07099998	7.06179E+46
j2229-0832	351.594	16.7577	1.559999943	6.22004E+47
j2236+2828	657.039	47.0919	0.790000021	1.46317E+47
j2237-3921	805.183	61.1595	0.296999991	8.99041E+44
j2321+3204	867.789	108.865	1.488999963	2.86583E+47
j2331-2148	1015.81	108.853	0.563000023	1.95958E+46
j0013+1907	1039.31	60.536	0.477	1.49021E+45
j0203+3042	892.012	119.684	0.760999978	4.06039E+46
j0334-4008	648.918	55.533	1.445000052	4.3707E+47
j0434-2014	1018.62	42.6331	0.928	1.22068E+46
j0438-4521	750.524	110.98	2.017	2.32656E+47
j0831+0429	590.868	36.4084	0.173999995	2.41427E+45
j1203+6030	1212.79	24.2015	0.065	8.17604E+43
j1221+2814	795.171	75.1548	0.103	9.12097E+44
j1221+3010	2509.47	398.809	0.184	6.13725E+45
j1420+5422	752.148	92.4173	0.153	7.79366E+44
j1824+5651	654.161	1.62937	0.662999988	3.99509E+46
j2015+3709	2890.32	10.2902	0.859	2.7982E+47
j2206-0029	1008.07	252.989	1.053	5.25639E+46
j2353-3034	1422.82	812.248	0.737	8.05162E+45
#
j0237+2848	541.662	19.1116	1.20599997	8.9497E+47
j0654+4514	938.889	184.558	0.927999973	4.70949E+46
j0725+1425	597.108	54.8085	1.037999988	1.88343E+47
j0909+0121	995.766	87.629	1.024000049	1.20252E+47
j1033+6051	1246.21	70.9509	1.401000023	4.86581E+47
j1159+2914	607.872	1.00176	0.728999972	4.15883E+47
j1224+2122	436.42	12.5618	0.433999985	8.99309E+46
j1239+0443	534.475	30.0604	1.761000037	1.02033E+48
j1345+4452	513.897	20.3433	2.53399992	3.80541E+48
j1443+2501	1172.07	105.146	0.93900001	1.68997E+47
j1504+1029	533.403	16.0998	1.838999987	3.96942E+48
j1635+3808	612.622	11.9939	1.81400001	2.6564E+48
j2345-1555	908.058	56.7583	0.620999992	1.02114E+47
j0017-0512	851.201	116.948	0.226999998	1.8055E+45
