#srcName	Redshift	Gamma_Luminosity	
j2000.0+6508	0.048	5.97E+44
j2347.0+5142	0.044	1.38E+44
j0222.6+4302	0.37	6.43E+46
j2253.9+1609	0.859	3.03E+48
j0238.6+1637	0.94	4.11E+47
j1635.2+3808	1.81396	3.35E+48
j2202.7+4216	0.0686	2.96E+45
j2232.6+1143	1.032	2.37E+48
j1104.4+3812	0.03002	8.63E+44
j1653.8+3945	0.03298	3.00E+44
j0854.8+2006	0.3056	1.65E+46
j1224.9+2122	0.43383	1.12E+47
j2158.8-3013	0.1167	7.48E+45
j0721.9+7120	0.31	6.90E+46
j1221.5+2814	1.25813	3.10E+47
j0108.6+0134	2.099	3.71E+48
j0210.7-5101	0.03156	2.44E+44
j0236.8-6136	0.46657	7.70E+45
j0403.9-3605	1.42284	8.46E+47
j0428.6-3756	1.105	1.29E+48
j0501.2-0158	2.286	2.33E+48
j0505.3+0459	0.954	2.78E+47
j0530.9+1332	2.06	7.15E+47
j0532.0-4827	0.8116	9.57E+46
j0850.1-1212	0.566	2.69E+46
j1147.0-3812	1.048	1.32E+47
j1246.7-2548	0.633	1.16E+47
j1408.9-0751	1.494	4.25E+47
j1733.0-1305	0.9	2.26E+47
j1958.0-3845	0.63	5.01E+46
j2147.3-7536	1.139	3.31E+47
j2236.5-1433	0.33	1.90E+46
j2329.3-4955	0.518	1.05E+47
j2345.2-1555	0.621	1.24E+47
j1159.5+2914	0.72474	2.51E+47
j2056.2-4714	1.489	9.99E+47
j0237.8+2848	1.206	1.02E+48
j1428.5+4240	0.12926	3.74E+44
j0505.6+0415	0.424	4.39E+45
j0423.3-0120	0.91609	1.41E+47
j2025.6-0735	1.388	1.10E+48
j0017.5-0514	0.226	1.50E+45
j1800.6+7828	0.68	1.24E+47
j1642.9+3948	0.59341	4.19E+46
j0725.2+1425	1.038	2.21E+47
j1848.4+3217	0.8	5.70E+46
j0654.4+4514	0.928	5.65E+46
j1345.5+4453	2.54172	4.83E+48
j2250.0+3825	0.119	3.00E+44
j0742.6+5443	0.723	4.88E+46
j0339.5-0146	0.85	2.07E+47
j0211.2+1051	0.2	6.95E+45
j1239.5+0443	1.76064	1.20E+48
j1733.0-1305	0.9	2.26E+47
j1217.9+3007	0.13	4.38E+45
j1555.7+1111	0.36	7.93E+46
j0457.0-2324	1	9.48E+47
j0510.0+1800	0.42	2.17E+46
j0739.2+0137	0.19	7.02E+45
j0909.1+0121	1.02321	1.38E+47
j1129.8-1447	1.18906	9.32E+46
j1443.9+2501	0.9397	1.80E+47
j1504.4+1029	1.83795	4.50E+48
j1751.5+0938	0.322	1.68E+46
j1230.2+2517	0.135	1.85E+45
j0958.7+6534	0.367	1.92E+46
j1033.9+6050	1.408	5.59E+47
j1801.5+4404	0.66	3.68E+46
j1048.4+7143	1.15	7.90E+47
j0509.4+0542	0.3365	2.93E+46
j0521.7+2113	0.108	2.71E+45
#
j0422-0643	0.241999999	2.03680E+45
j0442-0017	0.845	2.61000E+46
j0449+1121	2.153000116	1.06909E+48
j0532+0732	1.253999949	4.62810E+47
j0921+6215	1.44599998	4.48147E+47
j1208+5441	1.345123053	1.43137E+47
j1332-1256	1.491999984	4.22839E+47
j1637+4717	0.735000014	2.65836E+46
j1709+4318	1.02699995	9.39295E+46
j2219+1806	1.07099998	7.06179E+46
j2229-0832	1.559999943	6.22004E+47
1001+2911	0.558	9.71575E+45
1209+1810	0.845	2.39626E+46
1359+5544	1.014	4.33075E+46
1635+3808	1.813	3.34718E+48
2334+0736	0.401	2.34529E+45
2345-1555	0.621	1.2389E+47

